:time rate [m^3/s]
TIME_UNITS h
929.d0 -2.77777778d-4
930.d0 -2.77777778d-4
931.d0 -2.77777778d-4
932.d0 -2.77777778d-4
933.d0 -2.77777778d-4
934.d0 -2.77777778d-4
935.d0 -2.77777778d-4
936.d0 -2.77777778d-4
937.d0 -2.77777778d-4
938.d0 -2.77777778d-4
939.d0 -2.77777778d-4
940.d0 -2.77777778d-4
941.d0 -2.77777778d-4
942.d0 -2.77777778d-4
943.d0 -2.77777778d-4
944.d0 -2.77777778d-4
945.d0 -2.77777778d-4
946.d0 -2.77777778d-4
947.d0 -2.77777778d-4
948.d0 -2.77777778d-4
949.d0 -2.77777778d-4
950.d0 -2.77777778d-4
951.d0 -2.77777778d-4
952.d0 -2.77777778d-4
953.d0 -2.77777778d-4
954.d0 -2.77777778d-4
955.d0 -2.77777778d-4
956.d0 -2.77777778d-4
957.d0 -2.77777778d-4
958.d0 -2.77777778d-4
959.d0 -2.77777778d-4
960.d0 -2.77777778d-4
961.d0 -2.77777778d-4
962.d0 -2.77777778d-4
963.d0 -2.77777778d-4
964.d0 -2.77777778d-4
965.d0 -2.77777778d-4
966.d0 -2.77777778d-4
967.d0 -2.77777778d-4
968.d0 -2.77777778d-4
969.d0 -2.77777778d-4
970.d0 -2.77777778d-4
971.d0 -2.77777778d-4
972.d0 -2.77777778d-4
973.d0 -2.77777778d-4
974.d0 -2.77777778d-4
975.d0 -2.77777778d-4
976.d0 -2.77777778d-4
977.d0 -2.77777778d-4
978.d0 -2.77777778d-4
979.d0 -2.77777778d-4
980.d0 -2.77777778d-4
981.d0 -2.77777778d-4
982.d0 -2.77777778d-4
983.d0 -2.77777778d-4
984.d0 -2.77777778d-4
985.d0 -2.77777778d-4
986.d0 -2.77777778d-4
987.d0 -2.77777778d-4
988.d0 -2.77777778d-4
989.d0 -2.77777778d-4
990.d0 -2.77777778d-4
991.d0 -2.77777778d-4
992.d0 -2.77777778d-4
993.d0 -2.77777778d-4
994.d0 -2.77777778d-4
995.d0 -2.77777778d-4
996.d0 -2.77777778d-4
997.d0 -2.77777778d-4
998.d0 -2.77777778d-4
999.d0 -2.77777778d-4
